,title,magnitude,date_time,cdi,mmi,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,country
0,"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,22-11-2022 02:03,8,7,1,768,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,Solomon Islands
2,M 7.0 - ,7.0,12-11-2022 07:09,3,3,1,755,us,147,3.125,18.0,mww,579.0,-20.0508,-178.346,Fiji
7,"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,20-10-2022 11:57,7,6,1,797,us,145,1.151,37.0,mww,20.0,7.6712,-82.3396,Panama
8,"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,22-09-2022 06:16,8,7,1,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.913,Mexico
9,"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,19-09-2022 18:05,9,8,1,1799,us,271,1.153,69.0,mww,26.943,18.3667,-103.252,Mexico
10,"M 6.9 - 90 km E of Yujing, Taiwan",6.9,18-09-2022 06:44,9,9,1,887,us,215,0.401,34.0,mww,10.0,23.1444,121.307,Taiwan
11,"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,17-09-2022 13:41,7,7,1,756,us,178,0.43,54.0,mww,10.0,23.029,121.348,Taiwan
13,"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10-09-2022 23:47,8,8,1,965,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,Papua New Guinea
14,"M 6.6 - 44 km SE of Kangding, China",6.6,05-09-2022 04:52,9,8,0,1043,us,141,8.454,34.0,mww,12.0,29.7263,102.279,People's Republic of China
16,"M 7.0 - 11 km NE of Bantay, Philippines",7.0,27-07-2022 00:43,9,8,1,1351,us,152,5.276,22.0,mww,33.729,17.5978,120.809,Philippines
17,"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,08-06-2022 00:55,3,2,0,653,us,236,1.999,31.0,mww,622.73,-9.0618,-71.1647,Brazil
18,"M 7.2 - 10 km W of Azángaro, Peru",7.2,26-05-2022 12:02,7,5,1,876,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,Peru
20,"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10-05-2022 23:06,6,5,1,762,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,Argentina
